,,,,,Top Skin,,,,,,,,1400,,,,,,,
,,,,,Bottom Skin,,,,,,,,400,,,,,,,
,,,,,Core,,,,,,,,900,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Quote,Date,Material,Type of Panel,Color,Type of Product,Thickness,Girth,Length,Qty,Density,Weight,Total Weight/Ton,Cost/Ton,Material Cost,Quoted Price,Value Addition,value add total,Total Sales,% of Value add,
MAHFAR TRADING,10/30/2025,PPAL,ROOF,9002,Top Skin,0.5,1220,1000,1000,2720,1.659,1.659,1400,2.323,7.7,,,,,
,,PPAL,,9002,Bottom Skin,0.5,1080,1000,1000,2720,1.469,1.469,1400,2.056,,,,,,
Delivery : BAHRAIN,,PIR,,,Core,50,1000,1000,1000,40,2.215,2.215,900,1.994,,,,,,
Sales : DULKIFIL,`,,,,,,,,,,5.343,,D-Cost,0.100,,,100,,,
,,,,,,,,,1.667,2.000,,,Labour,0.200,,,200,,,
,,,,,,,,,,,,,Cost,6.673,,1.027,1027.300,7700,13.34,
,,,,,,,,,,,,,Over head,0.667,0.1,,667.270,,,
,,,,,,,,,,,,,Lc,0.334,,,333.635,,,
,,,,,,,,,,,,,Total Cost,7.674,,,,,,
,,,,,,,,,,,,,,,,,,,,
Quote,Date,Material,Type of Panel,Color,Type of Product,Thickness,Girth,Length,Qty,Density,Weight,Total Weight/Ton,Cost/Ton,Material Cost,Quoted Price,Value Addition,value add total,Total Sales,% of Value add,
MAHFAR TRADING,10/30/2025,PPGI,WALL,9002,Top Skin,0.5,1080,1000,1000,7850,4.239,4.239,400,1.696,6.6,,,,,
,,PPGI,,9002,Bottom Skin,0.5,1080,1000,1000,7850,4.239,4.239,400,1.696,,,,,,
Delivery : BAHRAIN,,PIR,,,Core,50,1000,1000,1000,40,2.215,2.215,900,1.994,,,,,,
Sales : DULKIFIL,`,,,,,,,,,,10.693,,D-Cost,0.100,,,100,,,
,,,,,,,,,1.667,2.000,,,Labour,0.200,,,200,,,
,,,,,,,,,,,,,Cost,5.685,,0.915,915.300,6600,13.87,
,,,,,,,,,,,,,Over head,0.568,0.1,,568.470,,,
,,,,,,,,,,,,,Lc,0.284,,,284.235,,,
,,,,,,,,,,,,,Total Cost,6.537,,,,,,
,,,,,,,,,,,,,,,,,,,,
Quote,Date,Material,Type of Panel,Color,Type of Product,Thickness,Girth,Length,Qty,Density,Weight,Total Weight/Ton,Cost/Ton,Material Cost,Quoted Price,Value Addition,value add total,Total Sales,% of Value add,Cost / Ton
MAHFAR TRADING,10/30/2025,PPAL,SS,9002,RIDGE ,0.5,1220,1000,162,2720,1.659,0.269,1400,2.423, 2.800 ,0.377,61.093,453.600,13.5,227.29
